filename,station,res_tier,part,bytes,sha256
quarter_res_trees_Scan_081_5.lsp,081,quarter,5,56034442,0c5ca39e0eb4000479212aa4ce8d0eb43e134d67d8461db1faaaf5a07f091d29
quarter_res_trees_Scan_082_0.lsp,082,quarter,0,41649549,10869826730e29763e346cee6e7cf05435f74efa59ac30d5e4f76cdcda9f8d8a
quarter_res_trees_Scan_082_1.lsp,082,quarter,1,44430550,07925118c17a6a507a9e1ba6336a29db26e711520e501951259c5b82a82642e3
quarter_res_trees_Scan_082_2.lsp,082,quarter,2,40336748,c209a09357b9d63bd31e41992542f139929f4013e8f524151f5c1ec8562f83aa
quarter_res_trees_Scan_082_3.lsp,082,quarter,3,41793070,06c3ee305025e4551a4edf7b51374c0cdbde1ef21bac5eeb533a1b83ed9e8086
quarter_res_trees_Scan_082_4.lsp,082,quarter,4,65066662,98adae3c5aa6eafb629aafc3ed78b933b801d340943e443d81f8e69abedf32c8
quarter_res_trees_Scan_082_5.lsp,082,quarter,5,55072168,032672eda34f6b120493700f9f6ece208c12b7bd7e8873ed53b5ed0162e28b33
quarter_res_trees_Scan_084_0.lsp,084,quarter,0,48166032,b679389cd6b9abffcf1685c77f32c1e38349258d8cb7b561d0540fe389af8189
quarter_res_trees_Scan_084_1.lsp,084,quarter,1,48386230,c9ab064e04b5e2c774bd72e6361b87791e3d49b9843dc3725db22846aa330b9e
quarter_res_trees_Scan_084_2.lsp,084,quarter,2,47903130,94a96866d79c13bef7b2581f0a1e243297638ede4607385bd014611270c047b6
quarter_res_trees_Scan_084_3.lsp,084,quarter,3,47004274,ef13d4206897010895497bb47c681429dd774ece6712ba14eccdc24e9c1c9d7a
quarter_res_trees_Scan_084_4.lsp,084,quarter,4,87412282,f852b2195b6c7e987aa0686e7eda6a77e8d0c1a724e63bdfb85fda6328def353
quarter_res_trees_Scan_084_5.lsp,084,quarter,5,52890762,9c9d06682c94043374091f779e2b46c0117dd3184b18e6c585ff7439938c06f3
quarter_res_trees_Scan_085_0.lsp,085,quarter,0,34379093,27bc184848a3aaefe6b17089a41662128586224d5430755a45cd88c6ee48dea2
quarter_res_trees_Scan_085_1.lsp,085,quarter,1,46454928,7fa91bd4b6e7b2779cabf482259017c09d5ced479058c8f0099980369a44312a
quarter_res_trees_Scan_085_2.lsp,085,quarter,2,51667347,84e0c67789e6ed70c7c15bef9ebc3c2c0c37d2362da8a1a07ad7ac1a39c759ad
quarter_res_trees_Scan_085_3.lsp,085,quarter,3,48002422,30b3eac29d25123ed694bc3aeda9352a3ecbc96cfbf41b114cd91f6c1f973cae
quarter_res_trees_Scan_085_4.lsp,085,quarter,4,76294493,273c1e518b0f1a7cf2172f6e1e16cbc51bc2b099c83f9c2c7b1bb207d06bb0eb
quarter_res_trees_Scan_085_5.lsp,085,quarter,5,55891240,2a7201068612d8d0be7bd92f94214846c5d71cfb2266cade4e9090fd46edd7bf
